recognize," vt. 认出,认可,承认,意识到,表示感激"
heroine," adj. 英雄式的, 英勇的
n. 女英雄, 女主角"
weigh," vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚
n. 权衡；称重量"
criticize," vt. 批评, 吹毛求疵, 非难
vi. 批评"
malfunction," n. 故障
v. 发生故障, 不起作用"
swamp," n. 沼泽,湿地
v. 淹没,陷于沼泽"
devote," vt. 投入于,献身"
differential," adj. 微分的；差别的；特异的
n. 微分；差别差额"
actually," adv. 实际上，事实上
adv. 居然，竟然（表示惊讶）"
skeleton," n. 骨架,纲要,骨骼,骨瘦如柴的人或动物,家丑
adj. 骨骼的"
sect," n. 宗派,教派"
traditional, adj. 传统的
hold," vt.拿住，握住； 保留，保存； 扣留，拘押； 容纳
vi.拿住，握住； 同意，赞成； 保持不变； 有效
n.握住； 保留； 控制"
inside," adj. 里面的
adv. 在里面
n. 内部
prep. 在...里面"
journal," n. 日记, 杂志, 日报"
easily," adj. 容易地,不费力地
adv. 容易地"
pronounce," vt.& vi. 发音,宣告,断言,发表意见"
evidence," n. 根据, 证据
vt. vi. 证实, 证明"
beach," n. 海滩
v. 拖(船)上岸
vt. 使船冲上滩"
start," n.开始； 动身； 开动； 起点
vt.& vi.出发，启程
vt.起动； 提出（问题）； 开办； 使开始
vi.起始； 突然出现； 突然跳起； 突然涌出"
betray," vt. 误导,出卖,背叛,泄露 vi. 证明...错误"
obscure," adj. 微暗的,难解的,不著名的,[语音学]轻音的 
vt. 使...阴暗,隐藏,使...含糊,成为含糊的元音  
n. 暗淡,模糊"
digital," adj. 手指的,数字的,数码的,电子的"
manuscript," adj. 手抄的
n. 手稿, 原稿"
hill," n. 小山, 小堆, 斜坡
vt. 堆起, 培土"
thank," vt.谢谢，感谢； 责怪，把…归于
n.感谢，谢谢，道谢的话"
concert," n. 音乐会, 一致, 和谐
vt. 制定计划, 通过协商达成一致
vi. 合作"
furor," n. 激怒, 狂热, (诗情的)激情"
dismiss," vt.解雇，把…免职； 遣散，解散（队伍等）； 驳回，拒绝受理； 搁置
vi.解散"
ribbon," n. 缎带,色带,带状物
vt. 用丝带装饰,撕碎"
female," adj. 雌的,女(性)的
n. 雌性的动植物,女子"
teenager, n. 13岁到19岁的年轻人
farewell," adj. 告别的
int. 再会,别了
n. 告别"
inlet," n. 水湾，入口
vt.引进，插入"
velocity," n. 速度, 速率, 迅速"
finite, adj. 有限的
maker, n.制造者，制造商； [法] 签署本票的一方； 上帝； 〈古〉诗人
council," n. 理事会,委员会, 商议"
toss," n. 投掷, 震荡
v. 投掷, 摇荡, 辗转"
partial," adj. 部分的,偏袒的,偏爱的
n. 泛音"
category," n. 种类, 类别"
messenger," n. 报信者, 先驱"
safety," n.安全； 安全性； 安全处所； 中卫
adj.保障安全的"
lubricate," v. 润滑, 加润滑剂"
request," n. 要求, 请求
vt. 请求, 要求"
protective," adj. 保护的, 防卫的"
accomplice," n. 共犯, 同谋，帮凶"
interaction," n. 相互作用, 相互影响"
eternal," adj. 永久的,永恒的
n. 永恒的事"
stake," n. 木桩,赌注,股份
vt. 打赌,下赌注；用桩支撑"
atmospheric, adj. 大气的，大气层的，制造气氛的
pole," n. 极(点),杆子
vt. 跳,支撑
vi. 用篙撑船"
economically, adv. 在经济上，节约地
gear," n. 齿轮,传动装置,设备,工具
vt. &vi. 使适应于,以齿轮连起,配搭活动,调整"
whether, conj.&amp;adv. 是否
obedience," n. 服从, 顺从"
computer, n. 计算机
base," n. 基底,（支持、收入、力量等的）基础
vt. 以...作基础
adj. 卑鄙的；不道德的"
chill," n. 寒冷,寒意,失意, 恐惧
adj. 寒冷的,冷漠的，感冒的, 扫兴的
vt. 使...寒心,冷冻,使...惊恐, 使泄气
vi. 变冷，发抖, 凝固, 感到寒冷"
empirical, adj. 经验主义的
anxiety," n. 焦虑,挂念,担心,渴望,热望"
bias," n. 偏见，斜纹
vt. 使偏心"
amplify," v. 扩大, 详述, 使...增幅"
genre," n. 类型,流派"
radioactive, adj. 放射性的
amend," vt. 修正,改善,改良
vi. 自我修正"
radioactivity, n. 放射性，辐射
identify," vt.识别，认出； 确定； 使参与； 把…看成一样
vi.确定； 认同"
awkward," adj. 笨拙的
adj. 尴尬的"
distribute," vt. &vi. 分配,散布"
sew," vt. 缝纫,缝合
vi. 缝纫"
dash," n. 冲撞,破折号,少量,短跑,冲劲
vt. 猛掷,泼溅,冲撞,匆忙
vi. 猛冲,猛撞"
missing," adj. 缺掉的,失踪的"
swift," adj. 快的,迅速的
adv. 快速地
n. 雨燕,线轴"
coil," n. 卷,骚动,【电】线圈, 绕组
vt. &vi. 盘绕,卷"
relate," vt.& vi.（把…）联系起来； 讲，叙述（故事等）
vt.讲述，叙述； 使…有联系； 建立或展示联系
vi.有联系； 涉及； 符合； 发生共鸣"
basin," n. 脸盆, 盆地, 流域, 水池"
reactor, n. 反应者，反应堆
humidity," n. 湿度, 湿气"
upon, prep. 在...上
politics," n. 政治,政策,政治活动,政见"
simplicity," n. 单纯, 简朴"
cooperation," n. 合作, 协作"
intensive," adj. 强烈的, 密集的, 精细的, 强调的
n. (语法)强调成份"
measure," n. 措施, 办法, 量度, 尺寸
v. 测量, 量"
defend," vt. &vi. 防护,辩护,防卫"
milky," adj. 乳状的,乳白色的,柔和的"
mend," n. 修补, 改进, 修补处
vt. 修改, 改进
vi. 改过自新, 改进, 痊愈"
version," n. 版本, 说法，翻译"
technology," n. 技术,工艺(学)"
somehow," adv. 不知怎么地,以某种方式"
interference," n. 冲突, 干涉
[计算机] 干涉"
clash," n. 冲突,撞击声,抵触
vt. 冲突,抵触,使...发出撞击声
vi. 引起冲突"
contradict," vt. 反驳,与...矛盾"
urge," n. 冲动
vt. 驱策,鼓励,力陈,催促
vi. 极力主张"
superb, adj. 极好的
purity," n. 纯净, 纯正, 纯粹"
shilling, n. 先令
vest," n. 马甲, 防护衣 
vt. &vi. 授权，给与, 穿衣服"
music," n. 音乐,伴奏,美妙的声音"
obvious," adj. 明显的,显而易见的"
toward," prep. 对于,关于,接近,将近,向,朝
adj. 有希望的,有利的,逼近的"
screw," n. 螺丝钉,吝啬鬼,压迫,转动,螺旋状物,监狱看守
vt. 扭紧,压榨,欺骗,强迫
vi. 旋转"
underground," adj. 地下的, 秘密的
adv. 在地下, 秘密地
n. 地下, 地铁, 地道, 秘密活动"
rifle," n. 步枪
v. 洗劫, 抢劫"
multitude," n. 多数, 群众"
apart," adv. 分别地,分开地，有区别地
adj. 分开的，分离的"
hare, n. 野兔
silent," adj. 安静的,不吵闹的,沉默的,无言的
n. (复数)默剧"
paw," n. 手掌, 手爪
v. 以蹄扒地, 笨拙地使用, 费力地前进"
navy," n. 海军,船队,深蓝色"
lengthen," v. 加长,延长,使...长"
deed," n. 事迹, 行为，（尤指房产）契约，证书
vt. 通过行为转化"
deform," v. 使...残缺, 使...变形"
exchange," n. 交换,交换物,汇兑,交易所
vt. &vi. 交换,交易,兑换"
lime," n. 石灰,酸橙,酸橙树,粘鸟胶,钙
vt. 施石灰,涂上粘性物质,沾上粘鸟胶
adj. 与石灰或石灰石相关的"
glad," adj.高兴的，乐意的； 令人高兴的，使人愉快的； （风光）明媚的，（景色）美丽的； 充满欢乐的，兴高采烈的
vt.使高兴"
pessimistic," adj. 悲观的, 悲观主义的"
versatile," adj. 多才多艺的,多方面的，通用的，"
summary," n. 摘要,概要
adj. 摘要的,简略的"
god," n. 神,偶像,(God)上帝
vt. 像对神一样崇拜"
context," n. 上下文, 环境,背景"
code," n. 码,密码,法规,准则
vt. 把...编码,制成法典"
stab," n. 刺,戳,刺伤的伤口,剧痛,尝试
vt. 刺伤,中伤
vi. 刺,扎"
settle," n. 有背的长凳
vt. 安放,安顿,解决,决定,付清(欠款)
vi. 定居,降落"
overpass," n. 天桥, 立交桥 
vt. 超越, 胜过, 忽略"
deputy," adj. 代理的, 副的
n. 代表, 副手"
valley, n. 山谷；流域；溪谷
indoor," adj. 户内的, 室内的"
accurate," adj. 准确的, 精确的"
author," n. 作者,创造者
vt. 创造,写作"
curriculum, n. 课程，全部课程
highway, n. 公路
needless, adj. 不需要的，无用的
institute," n. 学会,学院,协会
vt. 创立,开始,制定"
indication," n. 象征,迹象,指示,表示"
mix," n. 混合(物),融合
vt. &vi. 混合,掺入,合成,交往,联系
[计算机] 混合"
soften," v. 使...变柔软,变柔和,减轻"
kingdom," n. 王国，领域，界
Kingdom：天国"
bullet, n. 子弹
contrive, vt. 1. (不顾困难地)促成某事2. 巧妙地策划；精巧地制造（如机器） vi. 1. (不顾困难而) 设法做到(正式)
fond, adj. 喜欢的；温柔的；宠爱的
sponge," n. 海绵, 海绵状的东西
v. 用海绵擦拭, 吸收掉, 抹掉"
analytical," adj. 分析的,解析的,善于解析的"
incline," n. 倾斜, 斜坡, 斜面
v. 使...倾向, 爱好, 易于"
summon," vt. 召唤,召集,振奋"
stream," n. (人,车,气)流,水流,组
vt. 流出,飘动
vi. 流动,飘动,接踵而来"
radius," n. 半径,桡骨,半径范围,辐射区"
spark," n. 火花,朝气,情人,俗丽的年轻人
vi. 闪烁,冒火花,热情回应
vt. 激发,引起,追求"
spontaneous," adj. 自发的, 自然产生的"
anticipate, vt. 预期，期望；占先，抢先；提前使用
conceive," vt. &vi. 构思,以为,怀孕"
pan," n. 平底锅, 严厉批评, (天平的)秤盘
vt. 用淘盘淘洗(含金或贵重矿物的砂砾), 严厉批评, (为拍摄动景或全景)左右移动(摄影机)"
forum," n. 论坛, 讨论会"
inventor, n. 发明家，创造者
migrate," v. 移动,移往,随季节而移居
[计算机] 迁移"
probability," n. 可能性, 或然率, 机率"
okay," n.认可，同意
v.赞成或同意； 批准
int.行，用以表达准许或同意之意
adj.可以，不错"
branch," n. 分支,树枝
vt &vi. 分支, 分岔"
debut," n. 初次登场
vt.&vi. 初次登场"
incident," n. 事件,（常指）军事冲突, 插曲，事变
adj. 难免的，附带的，(物理)入射的"
crown," n. 王冠,王权,顶点,花冠
vt. 使...成王,加冕,居...之顶,为牙齿镶上假齿冠
vi. 火迅速烧到树的顶端"
failure," n. 失败,失败的人或事"
lesson," n. 课，教训
vt. 给...上课,教训"
alleviate," vt. 减轻,使...缓和"
extraordinary," adj. 非凡的,特别的,特派的"
rage," n. 愤怒,情绪激动,风行一时,热量
vi. 震怒,风行,席卷"
tension," n. 紧张,张力,拉力
vt. （使金属线、帆等）拉紧"
treasurer," n. 会计, 出纳员，司库"
magnitude, n.巨大，广大； 重大，重要； 量级； （地震）级数
sadly," adv. 悲痛地, 悲惨地, 悲伤地"
path, n.小路，路； 路线，路程； 〈比喻〉（人生的）道路； （思想，行为，生活的）途径
clockwise," adj. 顺时针方向的
adv. 顺时针方向地"
zero, num.&amp;n. 零
socialism, n. 社会主义
infrared," adj. 红外线的
n. 红外线(的)"
equal," adj. 相等的,平等的,胜任的
n. 对手,匹敌,同辈
vt. 等于,比得上"
subdivide," vt. 细分(细区分,再划分,重分,叠分,分小类)"
abundant," adj. 丰富的,充裕的"
forever," adv. 永远
n. 漫长时间"
crude," adj. 粗鲁的,简陋的,天然的,未加工的
n. 原油"
propeller," n. 螺旋桨, 推进器
=propellor"
weld," n. 焊接, 焊缝
v. 焊接"
stubborn," adj. 顽固的, 倔强的，难对付的"
fiber," n. 纤维(物质),力量"
print," n. 版,印刷物,印迹
vt. &vi. 印刷,出版,打印
adj. 印刷的"
luck," n. 运气,幸运,吉祥之物
v. 侥幸成功"
sociology," n. 社会学, 社会关系学, 群落生态学"
closely, adv. 紧密地，接近地，严密地
six, n.六；六个；六岁；六点 num.六；六个
America," n. 美国,美洲"
arouse," vt. 唤醒,激发,激起
vi. 唤醒"
differ," vi. 不一致,不同(意见)"
stomach," n. 胃
v. 忍受,容忍
vt. 承受,忍受"
articulate," adj. 有关节的,发音清晰的
vt. &vi. 以关节连接,接合,明白地说"
merry," adj. 欢乐的,愉快的,敏捷的"
helpless," adj. 无助的, 无依靠的"
dangerous," adj. 危险的,引起危险的"
relic," n. 神圣的遗物, 遗迹, 纪念物"
Portuguese," n. 葡萄牙人, 葡萄牙语
adj. 葡萄牙的, 葡萄牙人的, 葡萄牙语的"
former," adj. 以前的,在前的
pron.&amp;n. 前者"
invest," vt.& vi.投资； 花费
vt.授予，使就职； 给…穿衣，装饰； 使充满； 覆盖"
aerial," adj.空气的； 航空的，空中的； 空想的
n.[电讯] 天线"
resemble," v. 相似, 类似, 像"
down," adj. 向下的,降低的,情绪低落,停止运行
adv. 向下的,下跌,在南方
n. 绒毛,汗毛,轻视
prep. 沿着...而下"
adapt," vt. 使适应,改编
vi. 适应，适合"
radish, n. 萝卜
employ," vt. 使用, 雇用, 使忙于
n. 使用, 雇用"
rot," n. 腐烂, 腐蚀, 败坏
v. 腐烂, 使...枯朽, 衰弱"
typist, n. 打字员
deal," n. 交易,协定,份量
v. (dealt,dealt[delt])处理,应付,分配"
constantly," adv. 不断地,经常地"
Negro," adj. 黑人的
n.(含歧视意味)黑人"
instrumental," adj. 仪器的,器具的,可做为手段的"
negligible," adj. 可以忽略的,微不足道的"
cross," n. 十字架,十字架形物件,交叉,交叉路
adj. 生气的,交叉的
vt. 划叉剔除，画横线于
vi. 穿越
prep. 穿过"
fishery, n. 渔场(渔业)
intensity," n. 激烈,强度,强烈,剧烈"
greedy, adj. 贪婪的
grandson," n. 孙子, 外孙"
announcer," n. 广播员, 告知者"
tenant," n. 房客,佃户
vt. 居住"
their," adj. 他们的,它们的
pron. 他(她,它)们的"
transparent," adj. 透明的, 明显的, 清晰的"
theoretical, adj. 理论上的
tackle," n. 工具,复滑车,扭倒
vt. &vi. 处理,抓住"
serious," adj.严肃的, 庄重的, 严重的, 危急的, 认真的"
mat," n. 垫,丛,衬边,消光面
vt. 遮盖, 保护, 用垫子装饰, 使纠缠,铺席于...上,使...无光泽,给(照片)镶框
vi. 缠结"
poster," n. 海报,招贴,脚夫
v. 贴海报于"
sunshine, n. 阳光
seminar," n. (大学的)研究班,研讨会"
librarian, n. 图书管理员
thirdly, adv. 第三
choose, vt. &vi. 选择
animal," n.动物，兽，牲畜； <俚>家畜，牲口； <俚>畜生（一般的人）； 兽性
adj.动物的； 肉体的； 肉欲的"
sandy," adj. 沙的, 沙地的, 多沙的
     沙色的
     不稳固的"
specialist, n. 专家
clasp," n. 扣子, 钩, 紧握
v. 扣紧, 紧握, 密切合作"
waste," vt. 浪费, 使瘦弱, 逐渐消耗
vi. 挥霍, 规模缩小, 大伤元气
adj. 荒芜的, 未开垦的, 废的
n. 浪费, 废料, 垃圾, 荒漠, 凄凉的景象"
collapse," n. 崩溃,倒塌,暴跌
vi. 倒塌,崩溃,瓦解,折叠
vt. 倒塌,缩减"
ascertain," vt. 确定,探知,查明"
textile," adj. 纺织的
n. 纺织品"
hostile," adj. 怀敌意的,敌对的"
denote," vt. 象征,表示"
mixer," n. 混合器，混铁炉, 混频器, 混和者"
fatigue," n.   疲乏,疲劳,累活
adj. 疲劳的
vt.  使...疲劳,使...心智衰弱
vi.  疲劳"
universe, n. 宇宙
dot," n. 小圆点,少量,小东西
vt. 作小点记号,点缀
vi. 作小点记号
[计算机] 点"
alive," adj. 活着的,有活力"
expand," vt. 增加,详述,扩展,使...膨胀
vi. 扩展,增加,详述"
certainty," n. 确定, 确实的事情"
expert," adj. 熟练的,内行的
n. 专家,能手
vi. 当专家"
brief," n. 摘要,简报,公事包
adj. 简短的,简洁的
v. 对...作简报,摘要"
inspection," n. 检查,视察"
prospect," n. 景色, 希望, 展望
v. 探勘, 寻找"
frangible," adj. 脆弱,易碎"
condemn," vt. 判刑, 谴责, 官方宣称（某事物）有缺陷或不宜使用"
purpose," n. 目的, 意图; 意志, 决心; 议题
vt. 打算, 决意"
conjunction," n. 连词, 结合, 关联,(事件等的)同时发生"
electrode, n. 电极，电焊条
commerce," n. 商业, 贸易"
representation," n. 表示法,表现,陈述，答辩"
duck," n. 鸭，鸭肉，板球零分
vt. 把…按入水中，低头弯身（以免被打中或看见)，躲避
vi. 迅速行进，飞快行走（以免被看见），推委责任"
companion," n. 同伴, 同事, 成对物品之一, (船的)甲板间扶梯(或扶梯的顶篷)
vt. &vi. 陪伴"
sound," vt. 听（诊）；测量，测…深；使发声；试探；宣告
n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
adv. 彻底地，充分地
vi. 听起来；发出声音；回响；测深"
handout, n. 散发材料(免费发给的新闻通报)
mountain," n. 山,山脉,大量"
power," n. 力量, 权力，电力
vt. 供电，激励，全速前进
adj. 与力量有关的，与权力有关的，电力控制的"
grammar, n. 语法
cutter," n. 裁剪者, 切割者, 切割器
n. 快艇，巡逻艇
n. 轻便雪橇"
arrest," n. 逮捕,监禁
vt. 拘捕,妨碍,吸引"
miniature," n. 缩图,小画像
adj. 小规模的,纤小的"
grassy, adj. 绿色的 像草的
heaven, n. 天堂；天空
icy," adj. 冰的,冷淡的,滑溜的"
calculation, n. 计算
focus," n. 焦点, 焦距
v. 集中, 聚集, 使集中"
plus," prep.（表示运算）加； （表示包容）外加； [口语]和； （表示数目）在零（度）以上
n.加号； [数学]正量； 好处； 附加物
adj.加的； 正的； 附加的； 比所示数量多的"
construct," vt. 构造,绘制,建造,想出
n. 构想,建造物"
freeze," v. 冻结, 冷冻, 僵硬
[计算机] 冻结"
yield," n. 生产量, 投资收益
v. 生产, 屈服, 投降, 弯下去, 凹下去"
headmaster, n. (中小学的)校长
